ECH 1040
Transition
Upper Surface = 0 %
Lower Surface = 0 %
Mach	0
Element:	1	2
Pressure Coefficient Distributions
	Angle of Attack	-10.86
	Cp*	-4.15
	M cr.	0.37
Element	1
x	y
0.75000	0.00000	0.80847
0.74315	0.00135	-0.94212
0.73097	0.00243	-0.72755
0.71382	0.00392	-0.59165
0.69198	0.00615	-0.53469
0.66573	0.00894	-0.50052
0.63543	0.01208	-0.45211
0.60149	0.01561	-0.42027
0.56438	0.01945	-0.40192
0.52462	0.02346	-0.39267
0.48272	0.02740	-0.38687
0.43926	0.03099	-0.37825
0.39483	0.03402	-0.36828
0.35004	0.03625	-0.35399
0.30552	0.03742	-0.32865
0.26191	0.03725	-0.26762
0.21985	0.03609	-0.20288
0.17993	0.03412	-0.13673
0.14273	0.03147	-0.06481
0.10876	0.02822	0.01700
0.07852	0.02451	0.10983
0.05245	0.02040	0.22786
0.03094	0.01600	0.37845
0.01440	0.01126	0.60248
0.00347	0.00589	0.96768
0.00000	0.00000	-0.21794
0.00347	-0.00589	-1.72826
0.01440	-0.01126	-1.07498
0.03094	-0.01600	-0.77051
0.05245	-0.02040	-0.60132
0.07852	-0.02451	-0.49998
0.10876	-0.02822	-0.41992
0.14273	-0.03147	-0.35872
0.17993	-0.03412	-0.30451
0.21985	-0.03609	-0.25523
0.26191	-0.03725	-0.21062
0.30552	-0.03742	-0.16503
0.35004	-0.03625	-0.09149
0.39483	-0.03402	-0.01399
0.43926	-0.03099	0.06273
0.48272	-0.02740	0.13741
0.52462	-0.02346	0.21146
0.56438	-0.01945	0.28140
0.60149	-0.01561	0.34459
0.63543	-0.01208	0.39828
0.66573	-0.00894	0.43671
0.69198	-0.00615	0.45135
0.71382	-0.00392	0.35463
0.73097	-0.00243	-0.37079
0.74315	-0.00135	-2.49465
0.75000	0.00000	0.84499
