flap
Transition
Upper Surface = 0 %
Lower Surface = 0 %
Mach	0
Element:	1	2
Pressure Coefficient Distributions
	Angle of Attack	-10.86
	Cp*	-6.59
	M cr.	0.30
Element	2
x	y
0.95629	-0.14000	0.95442
0.95454	-0.13847	0.16375
0.95120	-0.13613	0.18260
0.94650	-0.13284	0.14133
0.94056	-0.12856	0.06436
0.93345	-0.12337	-0.01785
0.92523	-0.11742	-0.08650
0.91602	-0.11074	-0.16479
0.90595	-0.10345	-0.25516
0.89514	-0.09566	-0.35802
0.88370	-0.08754	-0.47155
0.87175	-0.07926	-0.59186
0.85943	-0.07098	-0.72310
0.84687	-0.06288	-0.86504
0.83422	-0.05512	-1.01179
0.82160	-0.04790	-1.12358
0.80926	-0.04122	-1.24880
0.79741	-0.03514	-1.40196
0.78623	-0.02970	-1.59181
0.77588	-0.02498	-1.83810
0.76653	-0.02101	-2.20024
0.75832	-0.01785	-2.77433
0.75138	-0.01554	-3.93234
0.74582	-0.01415	-6.58949
0.74177	-0.01388	-14.78311
0.73978	-0.01500	-18.91633
0.73980	-0.01728	-3.35294
0.74206	-0.02065	0.49801
0.74605	-0.02478	0.95599
0.75152	-0.02963	0.99653
0.75836	-0.03516	0.94675
0.76648	-0.04127	0.87548
0.77574	-0.04787	0.80049
0.78604	-0.05484	0.72752
0.79723	-0.06206	0.65796
0.80918	-0.06941	0.59132
0.82174	-0.07672	0.52864
0.83479	-0.08381	0.48292
0.84809	-0.09063	0.44702
0.86142	-0.09716	0.41846
0.87457	-0.10336	0.39592
0.88732	-0.10921	0.38004
0.89946	-0.11468	0.36810
0.91082	-0.11975	0.35766
0.92120	-0.12439	0.34718
0.93047	-0.12854	0.33648
0.93852	-0.13210	0.34079
0.94519	-0.13510	0.34863
0.95039	-0.13753	0.33334
0.95409	-0.13925	0.27798
0.95629	-0.14000	0.95442
